toml_key,yaml_key,go_var,go_type,default_val
,serviceType,ServiceType,string,"""NodePort"""
server,server,Server,Server,"{ ""hostname"" : ""wso2is.com"", ""nodeIp"": ""$env{NODE_IP}"",""basePath"":""https://$ref{server.hostname}"" }"
server.hostname,server.hostname,HostName,string,
server.node_ip,server.nodeIp,NodeIp,string,
server.base_path,server.basePath,BasePath,string,
super_admin,superAdmin,SuperAdmin,SuperAdmin,"{ ""username"" : ""admin"", ""password"": ""admin"", ""createAdminAccount"": true }"
super_admin.username,superAdmin.username,Username,string,
super_admin.password,superAdmin.password,Password,string,
super_admin.admin_role,superAdmin.adminRole,AdminRole,string,
super_admin.create_admin_account,superAdmin.createAdminAccount,CreateAdminAccount,bool,
user_store,userStore,UserStore,UserStore,"{ ""type"" : ""database_unique_id""}"
user_store.type,userStore.type,Type,string,
user_store.username_java_regex,userStore.usernameJavaRegex,UserNameJavaRegex,string,
user_store.connection_url,userStore.connectionUrl,ConnectionUrl,string,
user_store.connection_name,userStore.connectionName,ConnectionName,string,
user_store.connection_password,userStore.connectionPassword,ConnectionPassword,string,
user_store.properties,userStore.properties,Properties,UserStoreProperties,
user_store.properties.CaseInsensitiveUsername,userStore.properties.caseInsensitiveUsername,CaseInsensitiveUsername,bool,
user_store.base_dn,userStore.baseDn,BaseDn,string,
user_store.user_name_attribute,userStore.usernameAttribute,UsernameAttribute,string,
database,database,Database,Database,"{ ""identityDb"":{""password"":""wso2carbon"",""type"":""h2"",""url"":""jdbc:h2:./repository/database/WSO2IS_IDENTITY_DB;DB_CLOSE_ON_EXIT=FALSE;LOCK_TIMEOUT=60000"",""username"":""wso2carbon""},""sharedDb"":{""password"":""wso2carbon"",""type"":""h2"",""url"":""jdbc:h2:./repository/database/WSO2IS_SHARED_DB;DB_CLOSE_ON_EXIT=FALSE;LOCK_TIMEOUT=60000"",""username"":""wso2carbon""},""userDb"": {""password"": ""wso2carbon"",""type"": ""h2"",""url"": ""jdbc:h2:./repository/database/UM_DB;DB_CLOSE_ON_EXIT=FALSE;LOCK_TIMEOUT=60000"",""username"": ""wso2carbon""} }"
database.user,database.user,UserDb,UserDb,
database.user.type,database.user.type,Type,string,
database.user.url,database.user.url,Url,string,
database.user.hostname,database.user.hostname,Hostname,string,
database.user.username,database.user.username,Username,string,
database.user.password,database.user.password,Password,string,
database.user.driver,database.user.driver,Driver,string,
database.user.pool_options,database.user.poolOptions,PoolOptions,UserPoolOptions,
database.user.pool_options.validationQuery,database.user.poolOptions.validationQuery,ValidationQuery,string,
database.identity_db,database.identityDb,IdentityDb,IdentityDb,
database.identity_db.type,database.identityDb.type,Type,string,
database.identity_db.url,database.identityDb.url,Url,string,
database.identity_db.hostname,database.identityDb.hostname,Hostname,string,
database.identity_db.username,database.identityDb.username,Username,string,
database.identity_db.password,database.identityDb.password,Password,string,
database.identity_db.driver,database.identityDb.driver,Driver,string,
database.identity_db.pool_options,database.identityDb.poolOptions,PoolOptions,IdentityDbPoolOptions,
database.identity_db.pool_options.validationQuery,database.identityDb.poolOptions.validationQuery,ValidationQuery,string,
database.identity_db.pool_options.maxActive,database.identityDb.poolOptions.maxActive,MaxActive,string,
database.identity_db.pool_options.maxWait,database.identityDb.poolOptions.maxWait,MaxWait,string,
database.identity_db.pool_options.minIdle,database.identityDb.poolOptions.minIdle,MinIdle,string,
database.identity_db.pool_options.testOnBorrow,database.identityDb.poolOptions.testOnBorrow,TestOnBorrow,string,
database.identity_db.pool_options.validationInterval,database.identityDb.poolOptions.validationInterval,ValidationInterval,string,
database.identity_db.pool_options.defaultAutoCommit,database.identityDb.poolOptions.defaultAutoCommit,DefaultAutoCommit,string,
database.identity_db.pool_options.commitOnReturn,database.identityDb.poolOptions.commitOnReturn,CommitOnReturn,string,
database.shared_db,database.sharedDb,SharedDb,SharedDb,
database.shared_db.type,database.sharedDb.type,Type,string,
database.shared_db.url,database.sharedDb.url,Url,string,
database.shared_db.hostname,database.sharedDb.hostname,Hostname,string,
database.shared_db.username,database.sharedDb.username,Username,string,
database.shared_db.password,database.sharedDb.password,Password,string,
database.shared_db.driver,database.sharedDb.driver,Driver,string,
database.shared_db.pool_options,database.sharedDb.poolOptions,PoolOptions,SharedDbPoolOptions,
database.shared_db.pool_options.validationQuery,database.sharedDb.poolOptions.validationQuery,ValidationQuery,string,"""SELECT 1"""
transport,transport,Transport,Transport,"{ ""https"" : { ""properties"" : { ""proxyPort"" : 443 } } }"
transport.https,transport.https,Https,Https,
transport.https.properties,transport.https.properties,Properties,HttpsProperties,
transport.https.properties.proxyPort,transport.https.properties.proxyPort,ProxyPort,int32,
keystore,keystore,KeyStore,KeyStore,"{ ""primary"":{""name"":""wso2carbon.jks"",""password"":""wso2carbon""} }"
keystore.primary,keystore.primary,Primary,Primary,
keystore.primary.name,keystore.primary.name,Name,string,
keystore.primary.password,keystore.primary.password,Password,string,
keystore.internal,keystore.internal,Internal,Internal,
keystore.internal.file_name,keystore.internal.fileName,FileName,string,
keystore.internal.type,keystore.internal.type,Type,string,
keystore.internal.password,keystore.internal.password,Password,string,
keystore.internal.alias,keystore.internal.alias,Alias,string,
keystore.internal.key_password,keystore.internal.keyPassword,KeyPassword,string,
keystore.tls,keystore.tls,Tls,Tls,
keystore.tls.file_name,keystore.tls.fileName,FileName,string,
keystore.tls.type,keystore.tls.type,Type,string,
